concept_id_1,concept_name,parent_omop_id,parent_name,status
73026,Abnormal breath sounds,4278456,Breath sounds - finding,both
73026,Abnormal breath sounds,4027547,Respiratory auscultation finding,predicted_only
73361,Abrasion and/or friction burn of elbow with infection,43530817,"Abrasion and/or friction burn of upper limb, infected",gs_only
73361,Abrasion and/or friction burn of elbow with infection,4106352,Superficial injury of elbow,gs_only
73361,Abrasion and/or friction burn of elbow with infection,444193,Superficial injury of elbow with infection,gs_only
73361,Abrasion and/or friction burn of elbow with infection,73361,Abrasion and/or friction burn of elbow with infection,predicted_only
31609,Abscess of salivary gland,444271,Abscess of oral tissue,gs_only
31609,Abscess of salivary gland,4114483,Lesion of salivary gland,gs_only
31609,Abscess of salivary gland,4322566,Mass of salivary gland,gs_only
31609,Abscess of salivary gland,4061734,Abscess of face,predicted_only
31609,Abscess of salivary gland,31609,Abscess of salivary gland,predicted_only
31609,Abscess of salivary gland,4048767,Oral fistula,predicted_only
31609,Abscess of salivary gland,4170116,Oral infection,predicted_only
22722,Accessory salivary gland,4006301,Congenital anomaly of salivary gland,gs_only
22722,Accessory salivary gland,22722,Accessory salivary gland,predicted_only
22722,Accessory salivary gland,46270990,Salivary gland heterotopia,predicted_only
74082,Acontractile detrusor,4032435,Urinary bladder muscle dysfunction - underactive,gs_only
74082,Acontractile detrusor,4027240,Disorder of smooth muscle,predicted_only
74082,Acontractile detrusor,195312,Functional disorder of urinary bladder,predicted_only
31668,Acquired deformity of neck,4182168,Deformity of neck,gs_only
31668,Acquired deformity of neck,4042837,Disorder of neck,gs_only
31668,Acquired deformity of neck,31668,Acquired deformity of neck,predicted_only
31668,Acquired deformity of neck,4028071,Disorder of trunk,predicted_only
31884,Acquired diverticulum of esophagus,4187895,Esophageal diverticulum,gs_only
31884,Acquired diverticulum of esophagus,31884,Acquired diverticulum of esophagus,predicted_only
31884,Acquired diverticulum of esophagus,4055891,Traction esophageal diverticulum,predicted_only
73849,Acquired lordosis deformity of spine,4044721,Acquired curvature of spine,both
73849,Acquired lordosis deformity of spine,73012,Lordosis deformity of spine,both
26459,Acute esophagitis,30753,Esophagitis,gs_only
30133,Acute laryngitis,4173027,Acute laryngitis and/or tracheitis,gs_only
30133,Acute laryngitis,24969,Laryngitis,gs_only
23798,Acute laryngopharyngitis,30133,Acute laryngitis,gs_only
23798,Acute laryngopharyngitis,25297,Acute pharyngitis,gs_only
23798,Acute laryngopharyngitis,4110480,Pharyngolaryngitis,gs_only
23798,Acute laryngopharyngitis,23798,Acute laryngopharyngitis,predicted_only
23798,Acute laryngopharyngitis,257011,Acute upper respiratory infection,predicted_only
23798,Acute laryngopharyngitis,4207471,Infective laryngitis,predicted_only
23798,Acute laryngopharyngitis,437779,Streptococcal infectious disease,predicted_only
31597,Acute laryngotracheitis,30133,Acute laryngitis,gs_only
31597,Acute laryngotracheitis,437903,Acute tracheitis,gs_only
31597,Acute laryngotracheitis,4208388,Laryngotracheitis,gs_only
31597,Acute laryngotracheitis,4112534,Chronic laryngitis and laryngotracheitis,predicted_only
31601,Acute laryngotracheitis with obstruction,31597,Acute laryngotracheitis,gs_only
31601,Acute laryngotracheitis with obstruction,4112534,Chronic laryngitis and laryngotracheitis,predicted_only
31601,Acute laryngotracheitis with obstruction,30124,Obstruction of larynx,predicted_only
