source_code,source_term,target_concept_id,target_concept_name,predicate,target_concept_id_b,target_concept_name_b,predicate_b,cleaned_term,mapped_concept_id,mapped_concept_name,matched_concept_id,matched_concept_name,match_score,match_rank,matched_concept_class_id,matched_domain_id,matched_vocabulary_id,matched_parents,matched_children,matched_synonyms
8690,"Unspecified enthesopathy, lower limb, excluding foot",4116324,Enthesopathy of lower leg and ankle region,exactMatch,4116324.0,Enthesopathy of lower leg and ankle region,broadMatch,"enthesopathy, lower limb, excluding foot",-1,,4194889,Enthesopathy of lower limb,0.0709002948131803,1,Disorder,Condition,SNOMED,Peripheral enthesopathy;Disorder of soft tissue of lower limb,Snapping hip;Enthesopathy of knee;Enthesopathy of right ankle;Enthesopathy of ankle AND/OR tarsus;Enthesopathy of lower leg and ankle region;Enthesopathy of hip region;Enthesopathy of foot region,Enthesopathy of lower limb (disorder)
8690,"Unspecified enthesopathy, lower limb, excluding foot",4116324,Enthesopathy of lower leg and ankle region,exactMatch,4116324.0,Enthesopathy of lower leg and ankle region,broadMatch,"enthesopathy, lower limb, excluding foot",-1,,46284922,Enthesitis of lower limb,0.2330454935329949,2,Disorder,Condition,SNOMED,Enthesitis,Enthesitis of Achilles tendon;Enthesitis of knee;Enthesitis of foot and ankle;Enthesitis of quadriceps tendon,Enthesitis of lower limb (disorder)
8690,"Unspecified enthesopathy, lower limb, excluding foot",4116324,Enthesopathy of lower leg and ankle region,exactMatch,4116324.0,Enthesopathy of lower leg and ankle region,broadMatch,"enthesopathy, lower limb, excluding foot",-1,,4347178,Enthesopathy of foot region,0.264293594135092,3,Disorder,Condition,SNOMED,Disorder of foot;Enthesopathy of lower limb,Enthesopathy of right foot;Tarsus enthesopathy;Enthesopathy of left foot,Enthesopathy of foot region (disorder)
8690,"Unspecified enthesopathy, lower limb, excluding foot",4116324,Enthesopathy of lower leg and ankle region,exactMatch,4116324.0,Enthesopathy of lower leg and ankle region,broadMatch,"enthesopathy, lower limb, excluding foot",-1,,73008,Enthesopathy,0.2672446288253429,4,Disorder,Condition,SNOMED,Disorder of musculoskeletal system;Enthesopathy,Interosseous desmitis;Enthesitis;Spinal enthesopathy;Enthesopathy of pelvic region;Peripheral enthesopathy,Enthesopathy (disorder)
8690,"Unspecified enthesopathy, lower limb, excluding foot",4116324,Enthesopathy of lower leg and ankle region,exactMatch,4116324.0,Enthesopathy of lower leg and ankle region,broadMatch,"enthesopathy, lower limb, excluding foot",-1,,4116324,Enthesopathy of lower leg and ankle region,0.2708718453878714,5,Disorder,Condition,SNOMED,Disorder of lower leg;Disorder of ankle;Enthesopathy of lower limb,,Enthesopathy of lower leg and ankle region (disorder)
8690,"Unspecified enthesopathy, lower limb, excluding foot",4116324,Enthesopathy of lower leg and ankle region,exactMatch,4116324.0,Enthesopathy of lower leg and ankle region,broadMatch,"enthesopathy, lower limb, excluding foot",-1,,37108924,Enthesopathy of left foot,0.2851696134972449,6,Disorder,Condition,SNOMED,Disorder of left lower extremity;Enthesopathy of foot region,Bilateral enthesopathy of feet;Enthesopathy of toe of left foot,Enthesopathy of left foot (disorder)
8690,"Unspecified enthesopathy, lower limb, excluding foot",4116324,Enthesopathy of lower leg and ankle region,exactMatch,4116324.0,Enthesopathy of lower leg and ankle region,broadMatch,"enthesopathy, lower limb, excluding foot",-1,,37309727,Bilateral enthesopathy of feet,0.3070025470337951,7,Disorder,Condition,SNOMED,Enthesopathy of right foot;Enthesopathy of left foot,,Enthesopathy of bilateral feet (disorder);Enthesopathy of both feet;Enthesopathy of bilateral feet
8690,"Unspecified enthesopathy, lower limb, excluding foot",4116324,Enthesopathy of lower leg and ankle region,exactMatch,4116324.0,Enthesopathy of lower leg and ankle region,broadMatch,"enthesopathy, lower limb, excluding foot",-1,,37108923,Enthesopathy of right foot,0.3083148800171355,8,Disorder,Condition,SNOMED,Disorder of right lower extremity;Enthesopathy of foot region,Enthesopathy of toe of right foot;Bilateral enthesopathy of feet,Enthesopathy of right foot (disorder)
8690,"Unspecified enthesopathy, lower limb, excluding foot",4116324,Enthesopathy of lower leg and ankle region,exactMatch,4116324.0,Enthesopathy of lower leg and ankle region,broadMatch,"enthesopathy, lower limb, excluding foot",-1,,42537682,Enthesopathy of upper limb,0.3221507374549662,9,Disorder,Condition,SNOMED,Peripheral enthesopathy;Disorder of soft tissue of upper limb,Enthesopathy of elbow region;Enthesopathy of wrist and/or hand;Enthesopathy of shoulder region,Enthesopathy of upper limb (disorder)
8690,"Unspecified enthesopathy, lower limb, excluding foot",4116324,Enthesopathy of lower leg and ankle region,exactMatch,4116324.0,Enthesopathy of lower leg and ankle region,broadMatch,"enthesopathy, lower limb, excluding foot",-1,,37169284,Enthesopathy of toe of left foot,0.3232700440417162,10,Disorder,Condition,SNOMED,Disorder of toe;Finding of musculoskeletal structure of toe;Enthesopathy of left foot,,Disorder of enthesis of toe of left foot;Disorder of enthesis of toe of left foot (disorder)
8690,"Unspecified enthesopathy, lower limb, excluding foot",4116324,Enthesopathy of lower leg and ankle region,exactMatch,4116324.0,Enthesopathy of lower leg and ankle region,broadMatch,"enthesopathy, lower limb, excluding foot",-1,,75627,Peripheral enthesopathy,0.3368628567331876,11,Disorder,Condition,SNOMED,Enthesopathy,Enthesopathy of lower limb;Enthesopathy of upper limb,Peripheral enthesopathy (disorder)
8690,"Unspecified enthesopathy, lower limb, excluding foot",4116324,Enthesopathy of lower leg and ankle region,exactMatch,4116324.0,Enthesopathy of lower leg and ankle region,broadMatch,"enthesopathy, lower limb, excluding foot",-1,,765233,Enthesopathy of left hip,0.3396858352288436,12,Disorder,Condition,SNOMED,Enthesopathy of hip region;Disorder of left lower extremity,Disorder of enthesis of bilateral hip regions,Disorder of enthesis of left hip region;Disorder of enthesis of left hip region (disorder)
8690,"Unspecified enthesopathy, lower limb, excluding foot",4116324,Enthesopathy of lower leg and ankle region,exactMatch,4116324.0,Enthesopathy of lower leg and ankle region,broadMatch,"enthesopathy, lower limb, excluding foot",-1,,81942,Enthesopathy of ankle AND/OR tarsus,0.3456950522620532,13,Disorder,Condition,SNOMED,Enthesopathy of lower limb,Enthesopathy of ankle region,Enthesopathy of ankle AND/OR tarsus (disorder)
8690,"Unspecified enthesopathy, lower limb, excluding foot",4116324,Enthesopathy of lower leg and ankle region,exactMatch,4116324.0,Enthesopathy of lower leg and ankle region,broadMatch,"enthesopathy, lower limb, excluding foot",-1,,37163383,Enthesopathy of ankle region,0.3469539116766083,14,Disorder,Condition,SNOMED,Disorder of ankle;Enthesopathy of ankle AND/OR tarsus,Enthesopathy of left ankle;Posterior calcaneal exostosis,Disorder of enthesis of ankle region;Disorder of enthesis of ankle region (disorder)
8690,"Unspecified enthesopathy, lower limb, excluding foot",4116324,Enthesopathy of lower leg and ankle region,exactMatch,4116324.0,Enthesopathy of lower leg and ankle region,broadMatch,"enthesopathy, lower limb, excluding foot",-1,,46284933,Enthesitis of foot and ankle,0.3483246730648369,15,Disorder,Condition,SNOMED,Enthesitis of lower limb,,Enthesitis of foot and ankle (disorder)
